name,position,team_games_played,time_played,successful_layoffs,open_play_passes,times_tackled,backward_passes,successful_passes_opposition_half,unsuccessful_launches,unsuccessful_long_passes,aerial_duels_lost,total_losses_of_possession,successful_passes_own_half,total_tackles,total_passes,substitute_off,successful_short_passes,goals_conceded_inside_box,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_passes_opposition_half,starts,touches,appearances,ground_duels,forward_passes,index,duels_won,total_fouls_won,aerial_duels_won,duels,goals_conceded,games_played,ground_duels_lost,leftside_passes,successful_open_play_passes,total_successful_passes_excl_crosses_corners,aerial_duels,tackles_won,duels_lost,ground_duels_won,winning_goal,unsuccessful_crosses_open_play,substitute_on,putthrough_blocked_distribution_won,shots_off_target_inc_woodwork,unsuccessful_short_passes,penalty_goals_conceded,total_fouls_conceded,total_shots,key_passes_attempt_assists,putthrough_blocked_distribution,total_touches_in_opposition_box,unsuccessful_dribbles,unsuccessful_crosses_corners,hit_woodwork,tackles_lost,throw_ins_to_own_player,fifty_fifty,goals,corners_won,successful_crosses_corners,successful_dribbles,successful_corners_into_box,rightside_passes,blocked_shots,recoveries,successful_fifty_fifty,unsuccessful_passes_own_half,corners_taken_incl_short_corners,shots_on_target_inc_goals,attempts_from_set_pieces,successful_long_passes,total_clearances,left_foot_goals,foul_won_penalty,unsuccessful_corners_into_box,goals_from_inside_box,penalties_taken,penalty_goals,interceptions,offsides,right_foot_goals,goal_assists,successful_launches,throw_ins_to_opposition_player,foul_attempted_tackle,yellow_cards,blocks,successful_crosses_open_play,handballs_conceded,assists_intentional,clean_sheets,gk_successful_distribution,penalties_conceded,goals_conceded_outside_box,total_red_cards,red_cards_2nd_yellow,straight_red_cards,headed_goals,saves_made,punches,saves_made_from_outside_box,saves_made_parried,saves_made_from_inside_box,gk_unsuccessful_distribution,goals_from_outside_box,unsuccessful_layoffs,through_balls,second_goal_assists,goalkeeper_smother,catches,penalties_faced,penalties_saved,saves_from_penalty,set_pieces_goals,last_man_tackle,clearances_off_the_line,saves_made_caught,penalties_off_target,own_goal_scored,drops,crosses_not_claimed,other_goals
Aarón Escandell,Portero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdallahi Mahmoud,Centrocampista,9,45,1,4,1,1,2,1,1,1,4,1,1,4,1,3,1,1,1,1,11,1,4,1,13,3,1,1,6,1,1,2,2,3,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Diaby,Centrocampista,8,17,0,8,2,1,5,0,0,1,8,0,2,8,0,5,1,3,5,0,19,1,5,0,69,2,0,0,6,1,1,3,7,5,5,1,0,4,2,0,2,1,2,1,3,1,1,1,1,3,4,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adnan Januzaj,Centrocampista,9,185,0,94,4,25,64,0,2,0,43,16,3,97,2,74,0,18,29,2,167,6,27,31,100,24,9,3,30,0,6,6,35,76,79,3,3,6,21,0,7,4,1,3,16,0,0,9,2,4,11,3,13,0,0,1,6,2,3,1,9,1,6,2,16,5,2,7,6,1,5,1,2,1,4,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián López,Delantero,8,314,3,94,12,23,56,0,1,21,55,17,1,96,4,71,3,23,23,4,152,8,25,22,25,24,4,15,61,3,8,16,26,71,73,36,1,37,9,1,3,4,1,1,22,1,2,4,1,1,16,9,3,0,0,0,15,1,1,0,5,0,25,0,13,6,3,0,3,0,2,3,0,0,0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián Marín,Defensa,9,80,0,33,1,9,12,0,1,0,12,14,1,34,1,25,1,8,6,1,55,2,5,13,13,2,0,1,6,1,2,4,0,25,26,1,1,4,1,0,0,1,0,0,7,0,1,0,0,2,2,1,0,0,0,6,0,0,0,0,0,0,12,1,6,0,2,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aihen Muñoz,Defensa,9,461,0,203,2,41,73,9,19,10,87,76,7,206,0,135,3,61,50,5,311,6,26,97,39,18,3,3,39,3,6,11,10,142,145,13,4,21,15,0,8,1,5,2,42,1,7,3,1,12,6,1,8,0,3,32,4,0,0,4,5,0,58,0,20,2,19,0,1,0,10,7,0,0,0,0,0,0,2,0,0,1,2,14,3,2,2,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aimar Oroz,Delantero,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aissa Mandi,Defensa,9,593,0,370,0,12,89,9,17,7,41,260,8,387,0,316,10,38,23,7,442,7,24,135,45,24,6,10,41,11,7,10,144,336,349,17,3,17,14,0,0,0,2,0,21,1,10,2,0,4,4,0,0,0,5,1,7,1,0,0,0,0,96,0,26,3,15,0,2,0,33,12,0,0,0,1,0,0,10,1,0,0,2,0,7,2,3,0,1,0,2,1,2,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Fernández,Portero,8,630,0,89,1,0,15,28,48,0,50,92,0,156,0,74,10,49,34,7,209,7,1,102,21,0,0,0,1,11,7,1,33,57,107,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,21,0,50,0,15,0,0,0,33,5,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,77,0,1,0,0,0,0,12,3,4,4,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Paredes,Defensa,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aitor Ruibal,Delantero,9,171,1,72,6,18,27,3,7,3,39,24,3,73,0,46,5,22,18,1,114,4,17,29,61,12,2,4,24,5,4,9,22,50,51,7,2,12,8,0,3,3,2,0,15,1,2,1,0,7,1,3,3,0,1,4,3,0,2,0,3,0,4,0,13,1,7,0,1,0,5,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Cifuentes Martínez,,9,180,0,21,0,0,16,26,41,0,41,8,0,65,0,1,3,41,38,2,72,2,1,61,40,1,1,0,1,3,2,0,2,6,24,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,2,0,0,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alberto Perea,Centrocampista,9,76,0,25,8,0,17,0,1,0,15,5,2,25,0,17,1,5,6,0,57,3,17,8,27,7,1,0,17,1,3,10,5,20,20,0,1,10,7,0,0,3,2,1,4,0,0,1,2,2,4,1,1,0,1,0,2,0,0,2,4,0,12,3,10,0,0,0,0,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
